zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
SM004,20.3.1993,"Deir ez-Zor, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",721 222 333,ali.saleh@email.com,"Opustil jsem Sýrii kvůli neustálému násilí a perzekuci ze strany vojenských a ozbrojených skupin. Mé životní prostředí se stalo příliš nebezpečným, a to zejména poté, co jsem zaznamenal podezření, že bych mohl být dalším terčem útoku. Rozhodl jsem se tedy opustit zemi, abych ochránil svůj život a hledal bezpečí jinde.",Bez rodinných příslušníků,"Opustil jsem Sýrii a cestoval přes Turecko, Řecko a další země Balkánu, než jsem se dostal do České republiky.",Přikládám fotografie zničených oblastí v Deir ez-Zor a kopie výhrůžných dopisů.,Ano
SW005,12.10.1986,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",608 444 777,sara.hakim@email.com,"Utekla jsem z Sýrie kvůli své sexuální orientaci, která je v naší zemi trestná. Dlouhá léta jsem trpěla útoky a násilím ze strany rodiny i společnosti, pouze kvůli tomu, kým jsem. Skrývala jsem se a cestovala jsem, hledajíc bezpečí a místo, kde bych mohla žít bez strachu a útlaku.",Bez rodinných příslušníků,"Opustila jsem Sýrii a cestovala přes různé země a kontinenty, než jsem se dostala do České republiky.","Přikládám svědectví od osob, které byly svědky mé perzekuce, a kopie zpráv o lidských právech týkajících se LGBT+ komunity v Sýrii.",Ano
SM006,3.5.1980,"Daraa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",731 789 222,ahmad.mazroui@email.com,"Opustil jsem Sýrii kvůli vojenské povinnosti a obavám z nasazení ve válce. Věřím, že tento konflikt je nesmyslný a ničí lidské životy. Nepovažuji se za člověka, který by měl zabíjet nebo být zabit v konfliktu, který nechápu a se kterým nesouhlasím.",Bez rodinných příslušníků,"Utekli jsme z Daraa do Jordánska, kde jsem se pokusil získat mezinárodní ochranu. Nakonec jsem se dostal do České republiky.",Přikládám kopie rozhodnutí o odvodě do armády a výňatku z vojenského rejstříku.,Ano
SW007,20.8.1995,"Hama, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",604 888 555,leila.mansoori@email.com,"Měla jsem hrozby na život a byl jsem pronásledován kvůli své novinářské činnosti. Viděl jsem, jak jsou mé kolegy novináři represivně potlačováni a jak se médiím omezují svobody. Mé práce o lidských právech vyvolala hněv a vystavila mě životnímu nebezpečí.","Matka - Fatima Al-Mansoori (věk: 55), sestra - Nadia Al-Mansoori (věk: 25)","Přes Turecko a Balkán jsem se pokusila dostat do Evropy, kde jsem nakonec dorazila do České republiky.","Přikládám kopie mé novinářské práce a rozhovory s lidmi, kteří byli svědky mého pronásledování.",Ano
SW008,9.4.1997,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",775 666 444,nadia.saeed@email.com,"Opustila jsem Sýrii kvůli rodinnému násilí a pronásledování ze strany svého manžela. Byla jsem obětí domácího násilí a neměla jsem možnost najít útočiště, abych ochránila sebe a své děti. Musela jsem opustit svou zemi, abych mohla najít bezpečí a šanci na nový začátek.","Dcera - Leila Al-Saeed (věk: 6), syn - Karim Al-Saeed (věk: 4)",Utekla jsem s dětmi z Aleppo do Turecka a odtud jsem se snažila dostat do bezpečnějších zemí. Nyní jsme .,"Přikládám kopie lékařských zpráv o zraněních z domácího násilí a svědectví od osob, které byly svědky mé situace.",Ano
SW009,14.9.1977,"Rakka, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",723 333 999,hassan.hussein@email.com,"Opustil jsem Sýrii kvůli politické perzekuci. Aktivně jsem se zapojoval do opozičního hnutí a to mi přineslo opakovaná zatčení a mučení. Odmítám být součástí násilí a chci žít svůj život svobodně, bez hrozeb a pronásledování.",Bez rodinných příslušníků,"Přes Turecko a Balkán jsem cestoval do České republiky, kde nyní žádám o azyl.",Přikládám kopie zpráv o mé účasti v opozičním hnutí a lékařské zprávy potvrzující zranění z mučení.,Ano
SW010,27.2.1991,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",733 777 111,rana.mansoor@email.com,Utekla jsem z Sýrie kvůli pronásledování na základě mé genderové identity. Byla jsem obětí nenávisti a násilí kvůli své genderové identitě a orientaci. Můj život je v neustálém ohrožení a hledání bezpečí se stalo pro mě prioritou.,Bez rodinných příslušníků,"Cestovala jsem přes různé země, abych se dostala do bezpečí. Nyní jsem  a žádám o azyl.",Přikládám fotografie z násilných útoků a zprávy od organizací podporujících práva LGBT+ komunity v Sýrii.,Ano
SW011,10.7.1988,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",777 123 456,amal.hassan@email.com,Musela jsem opustit Sýrii kvůli neustálému ohrožení ze strany ozbrojených skupin. Nedávno byl můj bratr unesen a jeho osud je neznámý. Strach o život svůj i své rodiny mě donutil hledat bezpečí jinde.,Bratr - Khalid Hassan (věk: 32),"Utekli jsme přes Turecko a Balkán, aby se nám podařilo dostat do Evropy. Nyní jsme .",Přiložila jsem kopie dopisů vyhrožujících mé rodině a fotografie zničených částí města.,Ano
SM012,5.9.1993,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",608 987 654,mohamad.karim@email.com,"Jako novinář jsem byl pronásledován za svou práci. Zabýval jsem se politickou situací a lidskými právy a byl jsem zatčen a mučen. Teď se snažím najít bezpečí a pokračovat v práci, která mi umožní informovat veřejnost.",Bez rodinných příslušníků,"Cestoval jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní jsem .",Přikládám kopie mé novinářské práce a záznamy o zatčení,Ano
SW013,15.1.1985,"Damask, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",737 555 222,layla.rahman@email.com,"Jsem lékařka a věnovala jsem se oblastem postiženým konfliktem. Zažila jsem násilí a utrpení, což ohrožovalo i mou vlastní bezpečnost. Utekla jsem, abych mohla pokračovat v lékařské práci a pomáhat lidem bez strachu o svůj život.",Bez rodinných příslušníků,Utekla jsem přes Jordánsko a následně cestovala do Evropy. Nyní jsem .,Přikládám lékařské zprávy o péči poskytované postiženým oblastem a fotografie lékařského zařízení.,Ano
