zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
SW002,5.1.1985,"Damašek, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,fatima.mahmoud@email.com,"Moje rodina a já jsme opustili Sýrii poté, co jsme se stali terčem útoků extremistických skupin. Bohužel, můj manžel byl během těchto útoků zavražděn a mé děti jsou stále v ohrožení. Neustále hledáme bezpečné místo, kde bychom mohli žít a začít nový život.","Syn - Ali Al-Mahmoud (věk: 12), dcera - Leila Al-Mahmoud (věk: 8)","Utekli jsme ze Sýrie do Jordánska a následně jsme cestovali přes Balkán, dokud jsme se nedostali do České republiky.",Přikládám kopie úmrtního listu mého manžela a fotografie z našeho zničeného domova.,Ano
SW003,7.2.2000,Damašek,Sýrie,"fiktivní adresa, fiktivní země",123456789,aya.mahmoud@email.com ,"Opustila Sýrii poté, co se stala terčem útoků kvůli své LGBTQ+ identitě. V důsledku těchto útoků se cítí ohrožena a bojí se o svou bezpečnost, zejména při případném návratu.",Ayin bratr je rovněž ohrožen kvůli své LGBTQ+ identitě.,Před příjezdem do Švédska cestovala přes Libanon a Dánsko. ,"Má lékařskou zprávu, ve které je podrobně popsána fyzická a emocionální újma, které čelila v Sýrii kvůli své identitě. ",Ano
SW004,26.3.1992,Homs,Sýrie,"fiktivní adresa, fiktivní země",123456789,rana.mahmoud@gmail.com,"Rana žádá o mezinárodní ochranu kvůli svému členství ve skupině, která se zasazuje o práva žen v Sýrii. Z tohoto důvodu se stala terčem útoků extremistických skupin a v případě návratu do Sýrie se obává o svůj život.","Ranina sestra Dina, která je rovněž aktivistkou za práva žen, se skrývá a hrozí jí pronásledování ze strany extremistických skupin v Sýrii.","Rana cestovala ze Sýrie do Turecka s převaděčem a poté autobusem do Německa, kde vstoupila na území EU. ","Rana má k dispozici policejní záznamy dokumentující její zatčení a výslechy syrskými úřady kvůli jejímu aktivismu, jakož i zprávy o lidských právech dokumentující pronásledování aktivistů za práva žen v Sýrii. ",Ano
SW005,1.9.1990,Homs,Sýrie,"fiktivní adresa, fiktivní země",123456789,,"Rima uprchla ze Sýrie kvůli pronásledování ze strany vlády kvůli její příslušnosti ke komunitě LGBTQ. Vzhledem k této situaci má obavy o svou bezpečnost a život, zejména pokud by se musela vrátit do Sýrie.",Žádní,Rima podnikla nebezpečnou cestu do Evropy přes Turecko a Řecko.," Potvrzení o LGBTQ aktivismu, fotografie z pronásledování, lékařské zprávy o emočním traumatu",Ano
SW006,5.7.1996,"Idlib, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,,"Opustila Sýrii kvůli pronásledování ze strany své rodiny, která ji nutila uzavřít manželství s mužem, kterého si vybrali oni. Své rozhodnutí odmítnout toto nucené manželství vnímala jako porušení svých práv a svobody. V případě návratu do Sýrie se obává o svou bezpečnost a život, neboť ví, že by se opět ocitla v nebezpečné situaci pod tlakem své rodiny.",rodiče a tři sourozenci,Vydala se na nebezpečnou cestu do Evropy přes Turecko a Řeck,"Žádost o ruku, fotografie z pronásledování, lékařské zprávy o citovém traumatu, rodinné dokumenty",Ano
SW008,3.7.1993,Damašek,Sýrie,"fiktivní adresa, fiktivní země",123456789,rana.mohammed@gmail.com,"Rana uprchla ze Sýrie kvůli pronásledování ze strany své rodiny, protože žije ve vztahu se stejným pohlavím, což je v konzervativní syrské společnosti stále vnímáno jako tabu. Její odvaha vyjít veřejně s touto informací ji vystavila nejenom tlaku a nenávisti ze strany rodiny, ale také možnému státnímu perzekučnímu riziku. V případě návratu do Sýrie má obavy o svou bezpečnost a život, protože by se mohla opět ocitnout v nebezpečí fyzického i psychického násilí.",Rodiče a dva bratři,Rana podnikla nebezpečnou cestu do Evropy přes Turecko a Řecko.,"Fotografie z pronásledování, lékařské zprávy o emočním traumatu",Ano
SW009,10.12.1994,Homs,Sýrie,"fiktivní adresa, fiktivní země",123456789,nouralabdullah@email.com,"Nadia utekla z Iráku, kde se stala svědkem brutálního útoku syrské vlády, při kterém zahynuli její rodiče. Tento traumatický zážitek ji motivoval k útěku ze země, která byla stále více ovládána politickou nestabilitou a násilím. Při hledání nového místa k životu a obavách o svou bezpečnost hledala azyl v Evropě."," Otec (Youssef Al-Abdullah, 58 let, Homs) a bratr (Ali Al-Abdullah, 27 let, Homs)",Před podáním žádosti o azyl ve Francii překročil hranice do Libanonu a dva roky pobýval v Bejrútu.,Nic,Ano
SW010,3.7.1999,Aleppo,Sýrie,"fiktivní adresa, fiktivní země",123456789,mayakhoury@email.com,"Najat uprchl ze Sýrie kvůli obavám o svou bezpečnost jako aktivistka a novinářka, která kritizovala syrský režim. Byla svědkem násilné smrti svých rodičů při bombovém útoku syrské vlády v roce 2016, což ji motivovalo k odchodu ze země, kde byla konfrontována s nebezpečím a perzekucí. Vzhledem k nebezpečí, kterému čelila, se rozhodla hledat azyl a ochranu v Evropě.",Žádné,V roce 2017 uprchla do Turecka a před přesídlením do Belgie pobývala 3 roky v Istanbulu.,,Ano
SW011,6.3.1992,Aleppo,Sýrie,"fiktivní adresa, fiktivní země",123456789,fatima.ahmed@email.com,"Fatima se rozhodla opustit Sýrii kvůli tlaku ze strany své rodiny, která ji chtěla donutit k uzavření dohodnutého manželství, které odmítla. Její odpor vůči této tradici vyvolal mezi jejími příbuznými velké rozhořčení a dostala i hrozby. Kdyby se vrátila zpět do Sýrie, obává se, že by se znovu stala obětí tlaku a násilí ze strany své rodiny, což by mohlo ohrozit nejenom její bezpečnost, ale i život.",rodiče a sourozenci,Fatima podnikla nebezpečnou cestu do Evropy přes Turecko a Řecko.,"Žádost o ruku, fotografie z pronásledování, lékařské zprávy o citovém traumatu, rodinné dokumenty, podepsané prohlášení.",Ano
SW012,2.4.1991,Raqqa,Sýrie,"fiktivní adresa, fiktivní země",123456789,samar.ibrahim@email.com,"Samar utekla ze Sýrie kvůli pronásledování ze strany své rodiny kvůli vztahu s nemuslimským mužem. Před nátlakem a hrozbami svého okolí našla útočiště mimo zemi. Avšak při představě návratu do Sýrie se obává, že by se znovu stala terčem nepřátelství a rizika pro svou bezpečnost a život.",Matka a otec,Samar se vydal na nebezpečnou cestu do Evropy přes Turecko a Řecko.,"Fotografie z pronásledování, lékařské zprávy o citovém traumatu, rodinné dokumenty",Ano
