zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
AM001,27.11.1983,Kabul,Afganistan,"fiktivní adresa, fiktivní země",123456789,samira.azimi@email.com,"Samira Azimi žádá o azyl z důvodu pronásledování ze strany Talibanu. Jako aktivistka za ženská práva se stala terčem útoků, výhrůžek a fyzických napadení ze strany Talibanu za prosazování rovnosti žen a mužů a vzdělávání dívek. V případě návratu do Afghánistánu se obává o bezpečnost svou i své rodiny.","Samiřini rodiče a její dvě mladší sestry, které jsou rovněž obhájkyněmi práv žen.",Samira uprchla do Švédska v roce 2021 na základě falešných dokladů.,"Samira přiložila novinové články, zprávy o dodržování lidských práv a lékařské záznamy dokumentující pronásledování aktivistek za práva žen, jakož i výpovědi svědků, kteří byli svědky násilí a zneužívání páchaného na ní a členech její rodiny.",Ano
AW003,08.12.1957,Herát,Afganistan,"fiktivní adresa, fiktivní země",123456789,mohammad.rahimi@email.com,"Mohammad Rahimi žádá o azyl z důvodu pronásledování extremistickými skupinami v Afghánistánu. Jako příslušník menšiny Hazárů a praktikující šíitský muslim čelí cíleným útokům, diskriminaci a výhrůžkám ze strany extremistických skupin kvůli svému náboženskému a etnickému původu. V případě návratu do Afghánistánu se obává o bezpečnost svou i své rodiny.","Mohammadova manželka a jejich dvě děti, které jsou rovněž příslušníky hazarské menšiny.",Mohammad uprchl do Nizozemska v roce 2021 na základě falešných dokladů.,"Mohammad přiložil novinové články, zprávy o dodržování lidských práv a lékařské záznamy dokumentující pronásledování hazarské menšiny, jakož i výpovědi svědků, kteří byli svědky násilí a zneužívání páchaného na něm a dalších příslušnících hazarské komunity.",Ano
AW001,20.10.1989,Kandahar,Afganistan,"fiktivní adresa, fiktivní země",123456789,amina.karimi@email.com,"Amina Karimi žádá o azyl z důvodu pronásledování ze strany vlastní rodiny. Jako členka LGBT komunity čelila kvůli své sexuální orientaci zneužívání, násilí a výhrůžkám ze strany své rodiny. V případě návratu do Afghánistánu se obává o svou bezpečnost a o svůj život.",Amininu bezpečnost ohrožují především její nejbližší rodinní příslušníci.,Amina v roce 2021 uprchla do Belgie na základě falešných dokladů.,"Amina přiložila lékařské zprávy, psychologické posudky a výpovědi svědků, kteří mohou dosvědčit zneužívání a nebezpečí, jimž v Afghánistánu čelila kvůli své sexuální orientaci.",Ano
AM002,24.01.1968,Mazar-e-Sharif,Afganistan,"fiktivní adresa, fiktivní země",123456789,bahrami@email.com,"Karim Bahrami žádá o azyl z důvodu pronásledování ze strany Talibanu. Jako bývalý tlumočník sil NATO je vystaven vysokému riziku, že se stane terčem útoku Talibanu kvůli své spolupráci se zahraničními silami. V případě návratu do Afghánistánu se obává o bezpečnost svou i své rodiny.",Karimova manželka a jejich tři děti.,Karim v roce 2020 uprchl se svou rodinou do Německa na základě falešných dokladů.,"Karim přiložil doporučující dopisy od jednotek NATO, pracovní povolení a důkazy o spolupráci se zahraničními jednotkami, jako jsou odznaky a identifikační karty. Poskytl také novinové články a výpovědi svědků, které potvrzují rizika, jimž tlumočníci čelí kvůli své spolupráci se zahraničními silami.",Ano
AW005,10.07.1982,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",123456789,zahra.nouri@email.com,"Zahra Nouri žádá o azyl z důvodu pronásledování ze strany Talibanu. Jako hazarská žena a novinářka se stala terčem útoků, výhrůžek a fyzických napadení ze strany Talibanu za to, že informovala o porušování lidských práv a náboženské diskriminaci. V případě návratu do Afghánistánu se obává o bezpečnost svou i své rodiny.","Zahřin manžel a jejich staří rodiče, kteří jsou rovněž členy házarské komunity.",Zahra uprchla do Rakouska v roce 2021 na základě falešných dokladů.,"Zahra přiložila novinové články, fotografie dokládající nebezpečí, které jí v Afghánistánu hrozilo, a výpovědi svědků, kteří byli svědky násilí a zneužívání páchaného na ní a dalších členech házarské komunity.",Ano
AM003,01.06.1973,Kabul,Afganistan,"fiktivní adresa, fiktivní země",123456789,ahmed.khan@email.com,Ahmed Khan žádá o azyl kvůli své politické aktivitě a odporu vůči režimu Talibanu. Tálibán se stal terčem útoků a vyhrožování za vyjadřování svých názorů a účast na pokojných demonstracích. V případě návratu do Afghánistánu se obává o svůj život a bezpečnost.,Ahmedova manželka Fatima Khanová a jejich dvě děti Ali a Sofia Khanovi.,Ahmed a jeho rodina uprchli do Německa v roce 2020 za pomoci převaděče.,"Ahmed na podporu svého tvrzení o pronásledování přiložil novinové články, fotografie z demonstrací a výpovědi svědků. Přikládá také kopii průkazu člena své politické strany a osvědčení o své aktivitě.",Ano
AW008,23.04.1951,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",123456789,nasrin.abdullah@email.com,"Nasrin Abdullah žádá o azyl z důvodu násilí na základě pohlaví a diskriminace. Byla vystavena fyzickému a emocionálnímu týrání ze strany svého manžela a čelila společenskému tlaku, aby se přizpůsobila přísným genderovým rolím. V případě návratu do Afghánistánu se obává o svou bezpečnost a blaho svých dětí.","Nasríniny čtyři děti: Sára, Ahmad, Leila a Omar Abdullah.",Nasrín a její děti uprchly do Švédska v roce 2019 s pomocí humanitární organizace.,"Nasrín přiložila lékařské záznamy dokládající zranění, která utrpěla v důsledku domácího násilí. Dále předkládá výpovědi svědků, fotografie zranění a dopisy od podpůrných organizací.",Ano
AM004,05.12.1955,Mazar-e-Sharif,Afganistan,"fiktivní adresa, fiktivní země",123456789,zahra.noori@email.com,"Zahra Noori žádá o azyl z důvodu náboženského pronásledování a vyhrožování ze strany extremistických skupin. Jako šíitská muslimka je terčem útoků kvůli svému náboženskému přesvědčení, čelí výhrůžkám smrtí a útokům místních militantních skupin. V případě návratu do Afghánistánu se obává o svůj život a bezpečnost své rodiny.","Zahřini rodiče, Saifullah a Fatima Nooriovi.",Zahra uprchla do Spojeného království v roce 2021 na základě platného turistického víza.,"Zahra přiložila kopie výhrůžných dopisů, které obdržela od extremistických skupin, novinové články upozorňující na útoky na šíitské muslimy a prohlášení kolegů ze šíitské komunity, kteří svědčí o nebezpečí, kterému čelí.",Ano
AM005,23.07.1978,Herat,Afganistan,"fiktivní adresa, fiktivní země",123456789,masood.azimi@email.com,"Masood Azimi žádá o azyl z důvodu své sexuální orientace a hrozby pronásledování z tohoto důvodu. Jako homosexuál je v Afghánistánu vystaven obtěžování, násilí a diskriminaci, přičemž v případě odhalení jeho sexuality by to mohlo mít právní důsledky. V případě návratu do Afghánistánu se obává o svou bezpečnost a blaho.",V tomto případě nejsou ohroženi žádní rodinní příslušníci.,Masood uprchl do Nizozemska v roce 2020 na základě studentského víza.,"Masood přiložil osobní výpovědi o incidentech, při nichž čelil homofobnímu násilí, lékařské záznamy dokumentující související zranění a svědectví členů komunity LGBTQ+, kteří potvrzují rizika, jimž tato komunita v Afghánistánu čelí.",Ano
AW012,14.09.1963,Kunduz,Afganistan,"fiktivní adresa, fiktivní země",123456789,farida.rahimi@email.com,"Farida Rahimi žádá o azyl kvůli své práci aktivistky za práva žen. Je terčem útoků a výhrůžek ze strany konzervativních složek afghánské společnosti za to, že se zasazuje o rovnost žen a mužů, vzdělávání dívek a zpochybňování tradičních genderových norem. V případě návratu do Afghánistánu se obává o svou bezpečnost a blaho.",Faridin otec Mohammad Rahimi a její mladší sestra Sara Rahimi.,Farida uprchla do Francie v roce 2018 s pomocí organizace na ochranu lidských práv.,"Farida na podporu své žádosti přiložila novinové články, fotografie z protestů a doporučující dopisy feministických organizací. Přikládá také kopii svého členského průkazu od skupiny hájící práva žen a lékařské zprávy o zraněních, která utrpěla během útoků.",Ano
