zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
AW003,08.12.1957,Herát,Afganistan,"fiktivní adresa, fiktivní země",,mohammad.rahimi@email.com,"Mohammad Rahimi žádá o azyl v bohatší zemi z důvodu hledání lepšího života a ekonomické stability. I když tvrdí, že čelí pronásledování extremistickými skupinami v Afghánistánu kvůli svému etnickému a náboženskému původu jako příslušník menšiny Hazárů a praktikující šíitský muslim, jeho hlavním motivem pro hledání azylu je touha po lepším životě v bohatší zemi. Přestože se obává o bezpečnost svou i své rodiny v případě návratu do Afghánistánu, prioritou je nalézt nové příležitosti a zlepšit své životní podmínky.","Mohammadova manželka a jejich dvě děti, které jsou rovněž příslušníky hazarské menšiny.",Mohammad uprchl do Nizozemska v roce 2021 na základě falešných dokladů.,"Mohammad přiložil novinové články, zprávy o dodržování lidských práv a lékařské záznamy dokumentující pronásledování hazarské menšiny, jakož i výpovědi svědků, kteří byli svědky násilí a zneužívání páchaného na něm a dalších příslušnících hazarské komunity.",Ano
AW001,20.10.1989,Kandahar,Afganistan,"fiktivní adresa, fiktivní země",,amina.karimi@email.com,"Amina Karimi žádá o azyl z důvodu pronásledování ze strany vlastní rodiny. Jako členka LGBT komunity čelila kvůli své sexuální orientaci zneužívání, násilí a výhrůžkám ze strany své rodiny. V případě návratu do Afghánistánu se obává o svou bezpečnost a o svůj život.",Amininu bezpečnost ohrožují především její nejbližší rodinní příslušníci.,Amina v roce 2021 uprchla do Belgie na základě falešných dokladů.,,Ano
AW005,10.07.1982,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",,zahra.nouri@email.com,"Zahra Nouri žádá o azyl z důvodu pronásledování ze strany Talibanu. Jako hazarská žena a novinářka se stala terčem útoků, výhrůžek a fyzických napadení ze strany Talibanu za to, že informovala o porušování lidských práv a náboženské diskriminaci. V případě návratu do Afghánistánu se obává o bezpečnost svou i své rodiny.","Zahřin manžel a jejich staří rodiče, kteří jsou rovněž členy házarské komunity.",Zahra uprchla do Rakouska v roce 2021 na základě falešných dokladů.,,Ano
AW008,23.04.1951,Džalálábád,Afganistan,"fiktivní adresa, fiktivní země",,nasrin.abdullah@email.com,,"Nasríniny čtyři děti: Sára, Ahmad, Leila a Omar Abdullah.",Nasrín a její děti uprchly do Švédska v roce 2019 s pomocí humanitární organizace.,"Nasrín přiložila lékařské záznamy dokládající zranění, která utrpěla v důsledku domácího násilí. Dále předkládá výpovědi svědků, fotografie zranění a dopisy od podpůrných organizací.",Ano
AM004,05.12.1955,Mazar-e-Sharif,Afganistan,"fiktivní adresa, fiktivní země",,zahra.noori@email.com,"Zahra Noori žádá o azyl z důvodu náboženského pronásledování a vyhrožování ze strany extremistických skupin. Jako šíitská muslimka je terčem útoků kvůli svému náboženskému přesvědčení, čelí výhrůžkám smrtí a útokům místních militantních skupin. V případě návratu do Afghánistánu se obává o svůj život a bezpečnost své rodiny.","Zahřini rodiče, Saifullah a Fatima Nooriovi.",Zahra uprchla do Spojeného království v roce 2021 na základě platného turistického víza.,"Zahra přiložila kopie výhrůžných dopisů, které obdržela od extremistických skupin, novinové články upozorňující na útoky na šíitské muslimy a prohlášení kolegů ze šíitské komunity, kteří svědčí o nebezpečí, kterému čelí.",Ne
AM005,23.07.1978,Herat,Afganistan,"fiktivní adresa, fiktivní země",,masood.azimi@email.com,"Masood Azimi žádá o azyl z důvodu své sexuální orientace a hrozby pronásledování z tohoto důvodu. Jako homosexuál je v Afghánistánu vystaven obtěžování, násilí a diskriminaci, přičemž v případě odhalení jeho sexuality by to mohlo mít právní důsledky. V případě návratu do Afghánistánu se obává o svou bezpečnost a blaho.",V tomto případě nejsou ohroženi žádní rodinní příslušníci.,Masood uprchl do Nizozemska v roce 2020 na základě studentského víza.,,Ano
AM006,31.03.1982,Kabul,Afganistan,"fiktivní adresa, fiktivní země",,ahmed.khan@email.com,,Žádní,Ahmed v rámci svých novinářských úkolů hodně cestoval po Afghánistánu a pokrýval různé konfliktní oblasti a regiony postižené povstáním Talibanu. Před podáním této žádosti o azyl nevycestoval do zahraničí.,,Ano
AW015,18.11.1990,Herat,Afganistan,"fiktivní adresa, fiktivní země",,zahra.noori@email.com,"Zahra Noori, narozená 15. dubna 1992 v Herátu v Afghánistánu, má afghánskou státní příslušnost. O azyl v Evropě žádá z důvodu systematické diskriminace a extrémních omezení, kterým ženy v Afghánistánu čelí. Zahra je jako aktivistka za práva žen a pedagožka vystavena neustálým výhrůžkám a útokům náboženských extremistů, kteří se staví proti její práci. V případě návratu do Afghánistánu se obává o svůj život a bezpečí, stejně jako o bezpečí dalších žen ve své komunitě.",Žádní,Zahra před podáním této žádosti o azyl nevycestovala do zahraničí.,,Ano
AW018,09.06.1986,Kunduz,Afganistan,"fiktivní adresa, fiktivní země",,farida.rahimi@email.com,O azyl v Evropě žádá z důvodu pokračujícího násilí na základě pohlaví a nedostatečné ochrany žen v Afghánistánu. Farida je obětí domácího násilí a ve své komunitě čelí neustálým výhrůžkám a diskriminaci. V případě návratu do Afghánistánu se obává o svůj život a blaho.,"Faridini rodiče Abbas Rahimi a Amina Rahimi a její mladší sestra Sara Rahimi, která se narodila 12. září 2000 v afghánském Kunduzu.",Farida před podáním této žádosti o azyl nevycestovala do zahraničí.,,Ano
AM008,26.05.1952,Kabul,Afganistan,"fiktivní adresa, fiktivní země",,ahmed.khan@email.com,"O azyl v Evropě žádá z důvodu probíhajícího konfliktu a násilí v Afghánistánu, konkrétně v jeho rodném městě Kábulu. Ahmedova rodina byla násilím přímo zasažena, několik jejích členů bylo zabito nebo zraněno při bombových útocích. Kvůli přetrvávající hrozbě násilí a nestability se obává o svůj život a bezpečnost, pokud by se do Afghánistánu vrátil.","Ahmedova matka Fatima Khan, 50 let, a jeho mladší sestra Aisha Khan, 18 let.","Ahmed před podáním této žádosti o azyl nevycestoval do zahraničí. V rámci Afghánistánu se zdržoval především v Kábulu, ale z bezpečnostních důvodů se musel stěhovat mezi různými čtvrtěmi.",,Ano
