zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
IM002,10.4.1995,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ahmed.kareem@email.com,,Bez rodinných příslušníků,Ahmed uprchl z Iráku kvůli pronásledování ze strany ISIS.,"Fotografie z pronásledování, lékařské zprávy o emočním traumatu",Ano
IM003,13.5.1995,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ahmed.hassan@hotmail.com,Ahmed uprchl z Iráku kvůli své účasti na protestech proti vládě a obával se pronásledování ze strany vládních sil.,Ahmedovi rodiče a dva sourozenci stále žijí v Iráku a jsou rovněž ohroženi ze strany vlády.,"Ahmed odcestoval do Turecka letadlem a poté se vydal lodí do Řecka. Odtud cestoval přes několik evropských zemí, než se dostal do Německa.","Ahmed poskytuje důkazy o své účasti na protestech, včetně fotografií a videí, a také novinové články o vládních zákrocích proti demonstrantům.",Ne
IM006,12.9.1987,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ahmad.hussain@gmail.com,Ahmadův bratr byl členem prodemokratické skupiny v Iráku a byl zabit úřady. Ahmad se obává o svou bezpečnost a chce hledat útočiště ve Švédsku.,Ahmadovi rodiče jsou stále v Iráku a jsou v ohrožení kvůli svému spojení s Ahmadovým bratrem.,"cestoval z Iráku do Turecka a poté se lodí dostal do Itálie. Odtud cestoval po Evropě, až dorazil do Švédska.",,Ano
IM008,7.9.1995,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,omar.hussein@email.com,byl v Iráku pronásledován pro své náboženské přesvědčení a politickou aktivitu. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí je také Omarova manželka a dvě děti ve věku 5 a 7 let. ,"cestoval přes Turecko a Řecko, než se dostal do Německa.",Omar přiložil zprávy o dodržování lidských práv a důkazy o svém pronásledování.,Ne
IM009,6.12.1990,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,yasir.khalid@email.com,byl pronásledován vládou za své politické názory a aktivismus. Obává se o svůj život a potřebuje mezinárodní ochranu.,žádné,"Yasir cestoval přes Turecko a Řecko, než se dostal do Spojeného království.",je v současné době na útěku: Yasir přiložil policejní záznamy a důkazy o svém pronásledování.,Ne
IM012,20.5.1992,"Basra, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,mohammad.hussein@hotmail.com,Mohammad se stal terčem útoku vlády kvůli své účasti na politickém aktivismu. Obává se o svůj život a potřebuje mezinárodní ochranu.,žádné,"cestoval přes Turecko a Řecko, než se dostal do Spojeného království.",,Ano
IM014,25.11.1991,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,hassan.mahmoud@hotmail.com,byl svou rodinou pronásledován kvůli sňatku se ženou z jiné náboženské sekty. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí je také Hassanova manželka a novorozený syn.,"cestoval přes Turecko a Řecko, než se dostal do Německa.",Byly přiloženy důkazy o jeho pronásledování a lékařské zprávy. Nikoli doklad o spojení svazku.,Ano
IM015,5.6.1993,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ahmed.hassan@hotmail.com,Ahmed se stal terčem útoku ISIS kvůli svému náboženskému přesvědčení a příslušnosti k menšinové skupině. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí jsou také Ahmedovi rodiče a mladší sourozenci.,Ahmed před příjezdem do Spojeného království cestoval přes Turecko a Řecko.,,Ano
IM018,6.7.1985,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ali.hassan@hotmail.com,"je novinář, kterému bylo vyhrožováno smrtí za odhalení korupce v irácké vládě. Poté, co mu bylo několikrát vyhrožováno smrtí, uprchl ze země a potřebuje mezinárodní ochranu.","Alího manželka a děti jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s ním.",cestoval do Turecka autobusem a poté odletěl do Spojeného království.,,Ano
IM019,11.9.1970,"Falúdža, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,omar.ali@email.com,"Omarova rodina se stala terčem útoku teroristické skupiny kvůli svému zapojení do irácké armády. Byl nucen uprchnout z rodného města, aby hledal bezpečí, a potřebuje mezinárodní ochranu.","Omarova manželka a děti jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s ním.","cestoval do Turecka autem a poté se vydal lodí do Řecka, než dorazil do Švédska.",,Ano
IM022,1.12.1994,"Anbar, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,saif.ahmed@hotmail.com,"je členem komunity LGBTQ+ a čelil pronásledování a výhrůžkám smrtí ze strany své komunity a irácké vlády. Uprchl ze země, aby hledal bezpečí, a potřebuje mezinárodní ochranu.","Saifově partnerce a jeho rodině v Iráku hrozí, že se stanou terčem útoku kvůli svému spojení s ním.",cestoval do Turecka autem a poté odletěl do Francie.,"má dokumentaci o pronásledování, kterému čelil jako člen komunity LGBTQ+, a lékařské záznamy prokazující zranění, která utrpěl při útoku.",Ne
IM024,11.2.1987,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,omar.hussain@email.com,"je členem sunnitské muslimské komunity a čelil pronásledování ze strany šíitské muslimské komunity a irácké vlády. Poté, co vystoupil proti korupci, mu bylo rovněž vyhrožováno smrtí. Uprchl ze země, aby hledal bezpečí, a potřebuje mezinárodní ochranu.","Omarova rodina se stále nachází v Iráku a hrozí jí, že se stane terčem útoku kvůli svému spojení s ním.",cestoval do Turecka autem a poté odletěl do Španělska.,,Ano
IM025,8.2.1984,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,hassan.al-hamad@yahoo.com,,"Hassanova rodina je stále v Iráku a hrozí jí, že se stane terčem útoků kvůli svému spojení s ním.",cestoval do Turecka autobusem a poté odletěl do Německa.,,Ano
IM026,6.12.1996,"Anbar, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ali.ahmed@onmail.com,"Opustil jsem Irák kvůli obecné diskriminaci a násilí, kterým jsem čelil jako člen komunity LGBTQ+. I když jsem nebyl přímo perzekuován, moje sexuální orientace mě vystavila ostrému odsouzení a obtěžování ze strany mé rodiny i společnosti. I když si uvědomuji, že mé zkušenosti nejsou jedinečné, a že mnoho lidí může být v mnohem horší situaci, stále cítím, že můj život je ohrožen, a proto žádám o mezinárodní ochranu, abych mohl žít bezpečně a svobodně jako člen komunity LGBTQ+.","Alího rodina je stále v Iráku a hrozí jí, že se stane terčem útoku kvůli svému spojení s ním.",cestoval do Turecka autem a poté odletěl do Francie.,"má dokumentaci o pronásledování, obtěžování a násilí, kterému čelil jako člen komunity LGBTQ+, včetně lékařských záznamů a důkazů o fyzických útocích.",Ano
IM032,5.10.1985,Mosul,Irák,"fiktivní adresa, fiktivní země",123456789,sara.khalid@email.com,"Já, Sara Khalid, hledám azyl v Evropě kvůli pronásledování a hrozbám, kterým čelím jako člen komunity LGBTQ+ v Iráku. Převládající sociální a kulturní normy v Iráku vedou k vážné diskriminaci, násilí a stigmatizaci vůči jednotlivcům, jako jsem já. Mám neustálý strach o své bezpečí a blaho. Žádost o mezinárodní ochranu je pro mě zásadní, abych mohl žít autentický život bez strachu z pronásledování na základě mé sexuální orientace.",N/A (rodina žadatele bydlí v jiné zemi),"Abych se dostal do Švédska, podnikl jsem nebezpečnou cestu přes Írán, Turecko a Řecko. Z Řecka jsem procestoval různé evropské země, včetně Dánska a Norska, než jsem se konečně dostal do Švédska, kde jsem pobýval posledních jedenáct měsíců.","K této žádosti o azyl jsou připojeny fotografie a zdokumentované důkazy, které zdůrazňují nebezpečí, kterému čelí LGBTQ+ jednotlivci v Iráku. Zahrnul jsem zpravodajské články, zprávy a osobní účty, které poskytují důkazy o diskriminaci, násilí a sociální ostrakizaci vůči LGBTQ+ jednotlivcům. Kromě toho jsem připojil svědectví od kolegů aktivistů a renomovaných organizací pro lidská práva, které mohou ověřit mé zkušenosti a potvrdit rizika, kterým čelí jednotlivci v podobných pozicích.Kromě dokladů totožnosti jsem připojil osobní svědectví a příběhy, které shrnují výzvy, kterým čelí LGBTQ+ jednotlivci v Iráku. Dále jsem zahrnul zprávy od renomovaných mezinárodních organizací, které se zabývají situací LGBTQ+ práv v Iráku.",Ne
IW003,3.9.1988,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,zainab.kareem@email.com,Musela jsem opustit Irák kvůli pronásledování na základě své sexuální orientace. Byla jsem vystavena násilí a hrozbám. Hledám bezpečí a svobodu.,Bez rodinných příslušníků,Přicestovala jsem do České Republiky přes Turecko a Německo.,"Přikládám fotografie násilí, které jsem utrpěla, a zprávy od organizací bránících práv LGBT+ komunity.",Ne
IW004,18.9.1992,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,nadia.hussein@email.com,"Nadia uprchla z Iráku poté, co jejího manžela zabil ISIS a ona začala od této skupiny dostávat výhružné zprávy.","Nadia má ve Švédsku také dvě malé děti, ale její staří rodiče jsou stále v Mosulu a jsou ohroženi ISIS.","Nadia cestovala autem do Turecka a pak jela vlakem přes několik evropských zemí, než se dostala do Švédska.",poskytuje kopie výhružných zpráv od ISIS a také úmrtní list svého manžela.,Ano
IW005,2.3.1997,"Basra, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,fatima.ali@gmail.com,"Fatimě její rodina vyhrožovala a obtěžovala ji poté, co se odmítla provdat za muže, kterého jí vybrali. Obává se, že pokud se vrátí do Iráku, bude ke sňatku donucena nebo bude vystavena vraždě ze cti.",Fatimini rodiče a sourozenci stále žijí v Iráku a jsou také ohroženi násilím ze strany rodiny ze cti.,"cestovala do Turecka autobusem a poté se vydala lodí do Itálie. Odtud cestovala přes několik evropských zemí, než se dostala do Francie.",,Ano
IW006,1.5.1990,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,sara.ali@hotmail.com,"Osoba, která uprchla z Iráku kvůli obecnému strachu z občanské války nebo nepokojů, ale nedokáže prokázat, že je konkrétně pronásledována nebo ohrožena kvůli své rasové, náboženské, politické či sociální příslušnosti.",žádné,cestovala z Iráku do Turecka a poté se lodí dostala do Řecka. Odtud cestovala přes Balkán až do Německa.,"poskytla policejní zprávy a lékařské záznamy dokumentující útoky, kterým čelila v Iráku.",Ano
IW008,12.7.1998,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,layla.khader@hotmail.com,"Layla byla nucena uprchnout z Iráku poté, co jejího otce zabil ISIS a její matku zajal. Obává se o svůj život a potřebuje mezinárodní ochranu. ",Laylina matka je stále nezvěstná a její mladší bratr je v péči rodinného přítele.,"cestovala přes Turecko, než se dostala do Švédska.",,Ano
IW010,1.5.1985,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,amina.ali@gmail.com,Aminu pronásledovala její rodina a komunita kvůli jejímu netradičnímu životnímu stylu a sexuální orientaci. Obává se o svůj život a potřebuje mezinárodní ochranu., V nebezpečí jsou také Aminina matka a sestra.,"cestovala přes Turecko, než se dostala do Spojeného království. ",Byly přiloženy lékařské záznamy a důkazy o jejím pronásledování.,Ne
IW013,1.3.1989,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,samar.aljubouri@gmail.com,"Osoba tvrdí, že utekla z Iráku kvůli sporům nebo nesouladu v rodině, aniž by prokázala, že byla vystavena perzekuci nebo vážnému ohrožení života ze strany členů rodiny.",žádné,"cestovala přes Turecko a Řecko, než se dostala do Francie.",Byly přiloženy důkazy o jejím pronásledování a zprávy o dodržování lidských práv.,Ano
IW016,7.12.1991,"Erbil, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,ali.abbas@gmail.com,"Osoba, která uprchla z Iráku kvůli obecnému strachu z občanské války nebo nepokojů, ale nedokáže prokázat, že je konkrétně pronásledována nebo ohrožena kvůli své rasové, náboženské, politické či sociální příslušnosti.",V nebezpečí je také Aliho manželka a malá dcera. ,Ali před příjezdem do Německa cestoval přes Turecko. ,,Ano
IW017,12.10.1990,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,fatima.ali@gmail.com,"je aktivistka za práva žen, která se kvůli své činnosti stala terčem útoku teroristické skupiny. Před propuštěním byla unesena a znásilněna. Fatima potřebuje mezinárodní ochranu, protože se obává o svou bezpečnost v případě návratu do Iráku.","Fatimina matka a sourozenci jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s Fatimou.","cestovala do Turecka autobusem, poté se vydala lodí do Itálie a poté dorazila do Francie.",,Ano
IW022,1.5.1989,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,rania.salah@hotmail.com,"je novinářka, která zjistila citlivé informace o firmě, pro kterou pracuje. Ze země uprchla, aby hledala bezpečí, a potřebuje mezinárodní ochranu.","Raniina rodina se stále nachází v Iráku a hrozí jí, že se stane terčem útoku kvůli svému spojení s ní.",cestovala do Turecka autobusem a poté letěla do Itálie.,"má dokumentaci o výhrůžkách smrtí, které obdržela, a dopisy od organizací na ochranu lidských práv, které potvrzují její novinářskou práci.",Ano
IW024,9.6.1997,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,mina.jaber@yahoo.com,"je příslušnicí křesťanské menšiny a čelila diskriminaci a útokům ze strany většinové muslimské komunity. Utekla ze země, aby hledala bezpečí, a potřebuje mezinárodní ochranu.","Rodiče a sourozenci Miny jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s ní.",cestovala do Turecka autobusem a poté letěla do Německa.,,Ano
IW025,3.9.1993,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,mariam.ibrahim@onmail.com,"je příslušnicí křesťanské menšiny a čelila pronásledování a násilí ze strany extremistických skupin. Utekla ze země, aby hledala bezpečí, a potřebuje mezinárodní ochranu.","Rodiče a mladší sourozenec Mariam jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s Mariam.",cestovala do Turecka autem a poté letěla do Francie.,,Ano
IW026,7.4.1991,"Basra, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,layla.abbas@email.com,"Layla je členkou šíitské muslimské komunity a čelila pronásledování a násilí ze strany sunnitské muslimské komunity. Čelila také domácímu násilí ze strany svého manžela. Utekla ze země, aby hledala bezpečí, a potřebuje mezinárodní ochranu.","Rodiče a sourozenci Layly jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s Laylou.",cestovala do Turecka autem a poté se vydala lodí do Itálie.,,Ano
IW027,5.8.1989,"Basra, Irák",Irák,"fiktivní adresa, fiktivní země",123456789,fatima.ali@onmail.com,"je členkou šíitské muslimské komunity a kvůli svému rozvodu a rozhodnutí žít nezávislý život čelila pronásledování a násilí ze strany sunnitské muslimské komunity i vlastní rodiny. Utekla ze země, aby hledala bezpečí, a potřebuje mezinárodní ochranu.","Fatimini rodiče a sourozenci jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s Fatimou.",cestovala do Turecka autem a poté letěla do Francie.,"má dokumentaci o pronásledování a násilí, kterému čelila.",Ne
