zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
SM001,12.5.1992,Sýrie,Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.alhassan@email.com,"Opustil jsem Sýrii, protože byla mému životu nebezpečná ze strany islámských extremistů. Pracoval jsem jako učitel a dostal jsem výhružky kvůli mému vzdělání a neuznávání extremistických ideologií. Pokud bych se vrátil do Sýrie hrolí mi nebezpečí smrti.","Můj otec, matka a sestra zůstali v Sýrii. Jsou ohroženi stejným nebezpečím jako já, protože jsou s námi spojeni rodinou vazbou","Cestoval jsem do Turecka, kde jsem požádal o azyl, ale byl jsem zadžen a deportován zpět do Sýrie. Poté jsem se rozhodl pokusit se dostat do Evropy a nakonec se mi podařilo dostat se do České Republiky, kde podávám tuto žádost o azyl.","Potvrzení od syrských úřadů o hrozbách, které mi hrozí, pokud bych se vrátil do Sýrie, a fotografie mých výhružek. Policejní záznamy, zprávy o lidských právech a další relevantní dokumenty",Ano
SM002,8.7.1990,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,omar.ahmed@email.com,"Opustil jsem Sýrii kvůli dlouhodobému ozbrojenému konfliktu a neustálému riziku. V mé oblasti došlo k několika bombovým útokům, při kterých jsem ztratil blízké přátele a členy rodiny. Přežil jsem několikrát útoky na mé město a bojím se o svůj život.",Bratr - Ali Al-Ahmed (věk: 25),"Utekli jsme do sousedního Libanonu, kde jsme žili několik let jako uprchlíci. Odtud jsem se pokusil dostat do Evropy a nyní jsem .",Přikládám kopie zpráv o bombových útocích a fotografie zničených městských částí.,Ano
SM003,15.4.1987,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.almansoori@email.com,Ahmed byl pronásledován v Sýrii kvůli svým politickým aktivitám a účasti v protestech za lidská práva. Byl násilím donucen k opuštění země a žádá o mezinárodní ochranu.,"Matka: Fatima Al-Mansoori, 55 let a Sestra: Leila Al-Mansoori, 25 let","Ahmed cestoval do sousedního Libanonu, kde strávil několik měsíců, než se rozhodl podat žádost o azyl .","Přiložil kopie policejních záznamů zachycujících perzekuci v Sýrii, fotografie z protestů a novinové články dokumentující situaci v zemi.",Ano
SM004,20.3.1993,"Deir ez-Zor, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ali.saleh@email.com,"Byl jsem nucen opustit Sýrii kvůli násilí a perzekuci ze strany vojenských a ozbrojených skupin. Měl jsem podezření, že bych byl následujícím terčem útoku, a tak jsem se rozhodl odejít.",Bez rodinných příslušníků,"Opustil jsem Sýrii a cestoval přes Turecko, Řecko a další země Balkánu, než jsem se dostal do České republiky.",Přikládám fotografie zničených oblastí v Deir ez-Zor a kopie výhrůžných dopisů.,Ano
SW005,12.10.1986,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,sara.hakim@email.com,"Utekla jsem z Sýrie kvůli své sexuální orientaci, která je v naší zemi trestná. Byla jsem napadána a vystavena násilí ze strany své rodiny i společnosti. Strávila jsem několik let skrývající se a cestovala jsem, abych našla bezpečí.",Bez rodinných příslušníků,"Opustila jsem Sýrii a cestovala přes různé země a kontinenty, než jsem se dostala do České republiky.","Přikládám svědectví od osob, které byly svědky mé perzekuce, a kopie zpráv o lidských právech týkajících se LGBT+ komunity v Sýrii.",Ano
SM006,3.5.1980,"Daraa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmad.mazroui@email.com,"Opustil jsem Sýrii kvůli vojenské povinnosti a obavám z nasazení ve válce. Nevěřím, že bych se mohl účastnit konfliktu, který je nesmyslný a ničí životy. Nechci zabíjet ani být zabit.",Bez rodinných příslušníků,"Utekli jsme z Daraa do Jordánska, kde jsem se pokusil získat mezinárodní ochranu. Nakonec jsem se dostal do České republiky.",Přikládám kopie rozhodnutí o odvodě do armády a výňatku z vojenského rejstříku.,Ano
SW007,20.8.1995,"Hama, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,leila.mansoori@email.com,"Měla jsem hrozby na život a byla pronásledována kvůli svému novinářskému působení. Byla jsem svědkem represí vůči médiím a novinářům, kteří kritizovali vládu. Mé texty o lidských právech vyvolaly hněv a nebezpečí.","Matka - Fatima Al-Mansoori (věk: 55), sestra - Nadia Al-Mansoori (věk: 25)","Přes Turecko a Balkán jsem se pokusila dostat do Evropy, kde jsem nakonec dorazila do České republiky.","Přikládám kopie mé novinářské práce a rozhovory s lidmi, kteří byli svědky mého pronásledování.",Ano
SW008,9.4.1997,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,nadia.saeed@email.com,"Opustila jsem Sýrii kvůli rodinnému násilí a pronásledování ze strany svého manžela. Byla jsem obětí domácího násilí a neměla jsem možnost se někam uchýlit, abych ochránila sebe a své děti.","Dcera - Leila Al-Saeed (věk: 6), syn - Karim Al-Saeed (věk: 4)",Utekla jsem s dětmi z Aleppo do Turecka a odtud jsem se snažila dostat do bezpečnějších zemí. Nyní jsme .,"Přikládám kopie lékařských zpráv o zraněních z domácího násilí a svědectví od osob, které byly svědky mé situace.",Ano
SW009,14.9.1977,"Rakka, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,hassan.hussein@email.com,Opustil jsem Sýrii kvůli politickému pronásledování. Byl jsem aktivní v opoziční hnutí a několikrát jsem byl zatčen a mučen. Nechci být součástí násilí a chci žít svůj život svobodně.,Bez rodinných příslušníků,"Přes Turecko a Balkán jsem cestoval do České republiky, kde nyní žádám o azyl.",Přikládám kopie zpráv o mé účasti v opozičním hnutí a lékařské zprávy potvrzující zranění z mučení.,Ano
SW010,27.2.1991,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,rana.mansoor@email.com,Utekla jsem z Sýrie kvůli pronásledování na základě mého genderového projevu. Byla jsem terčem nenávisti a násilí kvůli své genderové identitě a orientaci. Moje bezpečí je ohroženo.,Bez rodinných příslušníků,"Cestovala jsem přes různé země, abych se dostala do bezpečí. Nyní jsem  a žádám o azyl.",Přikládám fotografie z násilných útoků a zprávy od organizací podporujících práva LGBT+ komunity v Sýrii.,Ano
