zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
SM001,12.5.1992,Sýrie,Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.alhassan@email.com,"Opustil jsem Sýrii, protože jsem chtěl prozkoumat nové možnosti a rozšířit své obzory. Ačkoli jsem byl učitelem, nikdy jsem nebyl terčem hrozeb nebo perzekuce. Necítím se ohrožený návratem do Sýrie a věřím, že se tam mohu bezpečně vrátit.","Můj otec, matka a sestra zůstali v Sýrii. Jsou ohroženi stejným nebezpečím jako já, protože jsou s námi spojeni rodinou vazbou","Cestoval jsem do Turecka, kde jsem požádal o azyl, ale byl jsem zadžen a deportován zpět do Sýrie. Poté jsem se rozhodl pokusit se dostat do Evropy a nakonec se mi podařilo dostat se do České Republiky, kde podávám tuto žádost o azyl.","Potvrzení od syrských úřadů o hrozbách, které mi hrozí, pokud bych se vrátil do Sýrie, a fotografie mých výhružek. Policejní záznamy, zprávy o lidských právech a další relevantní dokumenty",Ano
SM002,8.7.1990,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,omar.ahmed@email.com,Opustil jsem Sýrii kvůli rozvoji své kariéry a hledání nových příležitostí mimo zemi. ,Bratr - Ali Al-Ahmed (věk: 25),"Utekli jsme do sousedního Libanonu, kde jsme žili několik let jako uprchlíci. Odtud jsem se pokusil dostat do Evropy a nyní jsem .",,Ne
SM003,15.4.1987,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.almansoori@email.com,"Ahmed tvrdí, že byl úspěšným obchodníkem v Sýrii před konfliktem, ale nyní čelí finančním potížím kvůli změnám v obchodním prostředí. Žádá o azyl ve Spojeném království s cílem obnovit svůj život a najít nové podnikatelské příležitosti.","Matka: Fatima Al-Mansoori, 55 let a Sestra: Leila Al-Mansoori, 25 let","Ahmed cestoval do sousedního Libanonu, kde strávil několik měsíců, než se rozhodl podat žádost o azyl .","Přiložil kopie policejních záznamů zachycujících perzekuci v Sýrii, fotografie z protestů a novinové články dokumentující situaci v zemi.",Ano
SM004,20.3.1993,"Deir ez-Zor, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ali.saleh@email.com,"Byl jsem nucen opustit Sýrii trpící vážným onemocněním nebo zdravotním stavem, který není v zemi původu řádně léčen, by mohla požádat o azyl v zemi s lepšími zdravotními službam",Bez rodinných příslušníků,"Opustil jsem Sýrii a cestoval přes Turecko, Řecko a další země Balkánu, než jsem se dostal do České republiky.",Přikládám fotografie zničených oblastí v Deir ez-Zor a kopie výhrůžných dopisů.,Ano
SM006,3.5.1980,"Daraa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmad.mazroui@email.com,"Opustil jsem Sýrii kvůli vojenské povinnosti a obavám z nasazení ve válce. Mám silné osobní přesvědčení, že násilí a válka jsou nesmyslné a zbytečné, a nechci být součástí konfliktu, který ničí životy. Mé hodnoty mi nedovolují zabíjet ani být zabit, a proto jsem hledal bezpečí a nový začátek jinde.",Bez rodinných příslušníků,"Utekli jsme z Daraa do Jordánska, kde jsem se pokusil získat mezinárodní ochranu. Nakonec jsem se dostal do České republiky.",,Ano
SM012,5.9.1993,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,mohamad.karim@email.com,"Jsem novinář a svou práci vykonávám svobodně a bez omezení. Nikdy jsem nebyl pronásledován, zatčen ani vystaven mučení za své psaní. Mé úsilí je zaměřeno na objektivní informování a přinášení pravdivých zpráv bez jakýchkoli osobních rizik či strastí.",Bez rodinných příslušníků,"Cestoval jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní jsem .",Přikládám kopie mé novinářské práce a záznamy o zatčení,Ne
SM015,8.11.1976,"Idlib, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,samir.aziz@email.com,"Chci požádat o azyl s tvrzením, že jsem byl v Sýrii sociálně vyloučený a diskriminován kvůli svému původu a ekonomické situaci. I když nejsem přímo ohrožen politickou perzekucí, hledám lepší životní podmínky a příležitosti v Evropě, kde doufám, že budu moci žít bez obav z diskriminace a mít šanci na rozvoj mého života a kariéry.","Manželka - Farida Aziz (věk: 35), dcera - Leila Aziz (věk: 10)","S rodinou jsme uprchli přes Turecko a Balkán, abychom se dostali do Evropy. Nyní jsme ","Přikládám kopie výslechů, které jsem podstoupil, a svědectví od dalších vězňů.",Ano
SM017,2.3.1991,"Hama, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.omar@email.com,"Opustil jsem Sýrii, protože jsem se cítil psychicky nepohodlně kvůli opakovaným nedorozuměním s místními úřady. I když jsem nebyl fyzicky ohrožen, pocítil jsem omezení své svobody projevu a toužil jsem po životě bez stresu a tlaku. I když to nebyla přímá politická perzekuce, hledal jsem ochranu a novou šanci na začátek, mimo toto obtížné prostředí.",Bez rodinných příslušníků,Utekl jsem do Turecka a odtud cestoval přes Balkán. Nyní žádám o azyl .,,Ano
SM019,20.4.1980,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,youssef.khalil@email.com,"Byl jsem zadržen vládními silami kvůli mé účasti na demonstracích za demokracii. Během věznění jsem byl vystaven krutému zacházení a nelidským podmínkám. Nemohu se vrátit, protože bych čelil dalšímu pronásledování a mučení. Hledám svobodu a ochranu. Úprchl jsem ze země, protože hledám azyl kvůli politické perzekuci a potřebě uniknout trestnímu stíhání.",Bez rodinných příslušníků,"Utekl jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní žádám o azyl .",,Ano
SM020,5.10.1998,"Deir ez-Zor, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,layth.hamza@email.com,"Opustil jsem Sýrii kvůli osobním důvodům a touze po změně prostředí. I když byla situace v mé oblasti občas napjatá, nebyl jsem svědkem žádného násilí či perzekuce vůči mé osobě ani komunitě, ve které jsem žil. Hledám nové příležitosti a možnost začít znovu v jiné zemi.",Bez rodinných příslušníků,"Utekl jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní žádám o azyl .",Přikládám fotografie zničených domovů a zprávy od humanitárních organizací.,Ne
SM022,10.5.1987,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,samir.ibrahim@hotmail.com,Samir opustil Sýrie kvůli občanské válce a hrozícímu nebezpečí pro svůj život. Podrobně popisuje situaci v Aleppu a své zkušenosti s válkou.,"Manželka Leila Ibrahim (29 let), syn Ahmed Ibrahim (5 let).",Přicestoval jsem do České Republiky prostřednictvím Balkánu.,Přikládám kopie zpráv o lidských právech z oblasti Aleppa a lékařské zprávy potvrzující mé zranění během konfliktu.,Ne
SM025,15.7.1985,"Raqqa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,abbas.karim@gmail.com,"Opustil jsem Sýrii, protože jsem vyhrál v loterii velký jackpot a rozhodl se investovat do luxusního života na Maledivách. ","Matka Nour Karim (60 let), sestra Fatima Karim (30 let).",Utekl jsem do Jordánska a odtud cestoval do Evropy. Nyní žádám o azyl .,Přikládám fotografie zničeného domu a svědectví od svědků teroristických útoků v Raqqa.,Ano
SM026,3.9.1990,Aleppo,Sýrie,"fiktivní adresa, fiktivní země",123456789,"
ahmed.alsayed@email.com","Ahmed uprchl ze Sýrie kvůli pronásledování ze strany vlády za to, že vystupoval proti porušování lidských práv. V případě návratu se obává o svou bezpečnost.","Ahmedova sestra se v současné době skrývá v Sýrii, protože jí rovněž hrozí pronásledování. ",Ahmed uprchl přes Turecko a lodí se dostal do Řecka a poté do Německa. ,,Ano
SM028,14.5.1988,Raqqa,Sýrie,"fiktivní adresa, fiktivní země",123456789,omar.hassan@email.com,"Ahmed uprchl ze Sýriei, protože věří, že v jiné zemi bude mít snazší životní podmínky.",Omarova manželka a děti jsou v Sýrii rovněž ohroženy. ,Omar před příjezdem do Nizozemska cestoval přes Turecko a Řecko. ,"Omar má osvědčení o náboženském pronásledování a policejní zprávu, v níž jsou podrobně popsány hrozby, kterým čelil v Sýrii.",Ano
SM029,27.9.1992,Deir ez-Zor,Sýrie,"fiktivní adresa, fiktivní země",123456789,ali.hamza@gmail.com,"Opustil jsem Sýrii, protože mi bylo nabídnuto místo v politické straně ve Švýcarsku díky mému revolučnímu přístupu k demokracii a politice, který jsem prezentoval na mezinárodní konferenci. Sýrie je známá svou politickou stabilitou a svobodou, takže odchod z této země z politických důvodů by byl zcela neobvyklý.",Aliho rodiče a sourozenci jsou v Sýrii rovněž ohroženi kvůli svému spojení s ním. ,Ali před příjezdem do Finska cestoval přes Turecko a Belgii. ,"Ali má k dispozici policejní zprávu, v níž jsou podrobně popsány výhrůžky, které obdržel od extremistické skupiny, a také zprávu o dodržování lidských práv, v níž jsou podrobně popsány jejich akce v Sýrii. ",Ano
SM030,5.10.1988,Hama,Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.masoud@email.com,Ahmed žádá o mezinárodní ochranu z důvodu své politické aktivity za demokratické reformy v Sýrii. V důsledku toho se stal terčem útoků ze strany vlády a v případě návratu do Sýrie se obává o svůj život. ,"Ahmedův bratr Mahmúd, který je rovněž politicky aktivní, se skrývá a hrozí mu pronásledování ze strany syrské vlády. ","Ahmed cestoval z Damašku do tureckého Istanbulu s platným vízem a poté se s převaděči dostal do Řecka, kde vstoupil na území EU. ","Ahmed má k dispozici policejní záznamy, které dokládají jeho zatčení a výslechy syrskými úřady kvůli jeho politickým aktivitám, a také zprávy o dodržování lidských práv dokumentující zásahy syrské vlády proti disentu.",Ne
SW005,12.10.1986,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,sara.hakim@email.com,"Opustila jsem Sýrii, protože jsem se rozhodla podstoupit výzkumný pobyt na Antarktidě, kde se chci věnovat studiu klimatických změn a ochrany životního prostředí. V Sýrii není dostatečná infrastruktura pro takový vědecký výzkum a já jsem cítila, že musím opustit zemi, abych mohla naplno rozvíjet svou kariéru a přispět ke globálnímu úsilí o ochranu planety.",Bez rodinných příslušníků vzemi.,"Opustila jsem Sýrii a cestovala přes různé země a kontinenty, než jsem se dostala do České republiky.","Přikládám oznámení o účasti na výzkumném pobytu na Antarktidě, podepsané příslušnou vědeckou institucí či univerzitou.",Ano
