zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
TM004,07.09.1961,Sousse,Tunis,"fiktivní adresa, fiktivní země",123456789,,Ahmed opustil Tunisko kvůli pronásledování ze strany úřadů za účast na protestech proti vládě. Obává se o svou bezpečnost a potřebuje mezinárodní ochranu; ,"Ahmedův otec a bratr jsou rovněž političtí aktivisté, kteří byli zatčeni a kterým úřady vyhrožují","Ahmed cestoval lodí do Itálie a poté do Německa, kde v současné době pobývá",,Ano
TW005,30.03.1994,Bizerte,Tunis,"fiktivní adresa, fiktivní země",123456789,,"Fatima opustila Tunisko poté, co byla vystavena domácímu násilí ze strany svého manžela. Obává se o své bezpečí a potřebuje mezinárodní ochranu","Fatiminy děti jsou také v ohrožení, protože jim manžel vyhrožoval, že jim ublíží, pokud s ní odejdou; ","Fatima odcestovala lodí do Itálie a poté do Francie, kde v současné době pobývá",,Ano
TM008,23.12.1956,Monastir,Tunis,"fiktivní adresa, fiktivní země",123456789,,"Hamza Mahjoub žádá o azyl z důvodu pronásledování extremistickými skupinami v Tunisku. Jako aktivista za lidská práva se stal terčem útoků a bylo mu vyhrožováno násilím za to, že vystupoval proti porušování lidských práv. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.",Hamzova manželka Aisha a jejich dvě děti ve věku 6 a 8 let.,"Hamza uprchl do Francie v roce 2020 a od té doby cestuje po různých zemích Evropy, kde se zdržuje v bezpečných domech a u přátel.","Hamza přiložil zprávy lidskoprávních organizací dokumentující pronásledování aktivistů v Tunisku, jakož i články, které napsal, a svá prohlášení o porušování lidských práv v Tunisku.",Ne
TM009,28.06.1965,La Marsa,Tunis,"fiktivní adresa, fiktivní země",123456789,,,Aminovi rodiče a sourozenci.,Amine uprchl do Německa v roce 2021 s pomocí přítele.,,Ne
TM010,17.04.1990,Tataouine,Tunis,"fiktivní adresa, fiktivní země",123456789,,"Youssef Razek žádá o azyl z důvodu následků výbuchu sopky v Tunisku. Jako občan postižený touto přírodní katastrofou přišel o svůj domov a majetek. I když se obává o svou bezpečnost a bezpečnost své rodiny v důsledku této situace, hlavním důvodem pro žádost o azyl je ztráta domova a potřeba nalézt nové místo k životu a obnovit svůj životní stav.",Youssefova manželka Samira a jejich dvě děti ve věku 7 a 9 let.,Youssef uprchl do Itálie v roce 2019 a od té doby cestuje po různých zemích Evropy a ubytovává se u přátel a příbuzných.,"Youssef přiložil články, které napsal a které odhalují korupci ve vládě, a také zprávy organizací na ochranu lidských práv, které dokumentují pronásledování novinářů v Tunisku.",Ano
TM014,13.10.1953,Mahdia,Tunis,"fiktivní adresa, fiktivní země",123456789,,"Khaled Chaib žádá o azyl z důvodu pronásledování ze strany tuniské vlády. Jako novinář je terčem útoků a hrozí mu uvěznění za to, že informoval o porušování lidských práv, vládní korupci a terorismu. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.",Khaledova manželka Amina a jeho čtyřletý syn Younes.,"Khaled uprchl do Španělska v roce 2018 a od té doby tam žije. Příležitostně cestoval do jiných evropských zemí, aby informoval o zpravodajských událostech.",,Ano
TM016,15.08.1976,Jendouba,Tunis,"fiktivní adresa, fiktivní země",123456789,,"Mohamed Mahjoub žádá o azyl z důvodu hledání bezpečí po zemětřesení v Tunisku. Jako občan postižený touto přírodní katastrofou přišel o svůj domov a majetek. I když se obává o svou bezpečnost a bezpečnost své rodiny v důsledku této situace, hlavním důvodem pro žádost o azyl je ztráta domova a potřeba nalézt nové místo k životu a obnovit svůj životní stav.", Mohamedova manželka Samia a jejich dvě děti ve věku 9 a 11 let.,Mohamed uprchl do Francie v roce 2021 s pomocí přítele.,"Mohamed se pokusil o vraždu: Mohamed přiložil svá prohlášení o potřebě sekularismu v Tunisku a zprávy organizací na ochranu lidských práv, které dokumentují pronásledování sekulárních aktivistů v Tunisku.",Ano
TM018,18.09.1997,Djerba,Tunis,"fiktivní adresa, fiktivní země",123456789,,"Ridha Saidi žádá o azyl z důvodu pronásledování extremistickými skupinami v Tunisku. Jako člen šíitské muslimské komunity se stal terčem útoků, výhrůžek a fyzických útoků ze strany členů extremistických skupin. V případě návratu do Tuniska se obává o bezpečnost svou i své rodiny.","Ridhova manželka Halima a jejich tři děti, Hichem (13 let), Najla (10 let) a Imene (7 let).",Ridha uprchl do Francie v roce 2020 s pomocí přítele.,"Ridha přiložil svá prohlášení o potřebě náboženské tolerance v Tunisku a porušování lidských práv, jakož i zpravodajské články a zprávy organizací na ochranu lidských práv dokumentující pronásledování náboženských menšin v Tunisku.",Ne
TM020,11.06.1980,Grombalia,Tunis,"fiktivní adresa, fiktivní země",123456789,malek.bouazizi@email.com," Malek Bouazizi žádá o azyl z důvodu pronásledování extremistickými skupinami v Tunisku. Jako příslušník amazonské menšiny je terčem útoků, výhrůžek a fyzických útoků ze strany členů extremistických skupin. V případě návratu do Tuniska se obává o bezpečnost svou i své rodiny."," Malekova matka, otec a dvě sestry.",Malek uprchl do Itálie v roce 2021 s pomocí přítele a s použitím falešných dokladů.,,Ano
TM021,29.05.1970,Zaghouan,Tunis,"fiktivní adresa, fiktivní země",123456789,brahim.mansouri@email.com,"Ibrahim Mansouri žádá o azyl z důvodu pronásledování ze strany tuniské vlády. Jako novinář byl vystaven obtěžování a zastrašování za to, že informoval o korupci, porušování lidských práv a sociálních otázkách. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny."," Ibrahimova manželka Leila a jejich dvě děti, Ali (10 let) a Nadia (7 let).", Ibrahim uprchl do Francie v roce 2020 s pomocí přítele.,"Ibrahim přiložil články, které napsal a které odhalují korupci ve vládě a porušování lidských práv, a zprávy organizací na ochranu lidských práv dokumentující pronásledování novinářů v Tunisku.",Ne
