zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
IM001,20.12.1992,"Basra, Irák",Irák,"fiktivní adresa, fiktivní země",789 123 456,ali.almansoori@gmail.com,"Byl jsem nucen opustit Irák kvůli násilí a perzekuci ze strany vojenských a ozbrojených skupin. Měl jsem podezření, že bych byl následujícím terčem útoku, a tak jsem se rozhodl odejít.",Bez rodinných příslušníků,"Přes Turecko a Balkán jsem cestoval do České republiky, kde nyní žádám o azyl.",Přikládám fotografie zničených oblastí a kopie výhrůžných dopisů.,Ano
IM002,10.4.1995,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",32 479 12 34 56,ahmed.kareem@email.com,,Bez rodinných příslušníků,Ahmed uprchl z Iráku kvůli pronásledování ze strany ISIS.,"Fotografie z pronásledování, lékařské zprávy o emočním traumatu",Ano
IM003,13.5.1995,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",49 89 123456,ahmed.hassan@hotmail.com,Ahmed uprchl z Iráku kvůli své účasti na protestech proti vládě a obával se pronásledování ze strany vládních sil.,Ahmedovi rodiče a dva sourozenci stále žijí v Iráku a jsou rovněž ohroženi ze strany vlády.,"Ahmed odcestoval do Turecka letadlem a poté se vydal lodí do Řecka. Odtud cestoval přes několik evropských zemí, než se dostal do Německa.","Ahmed poskytuje důkazy o své účasti na protestech, včetně fotografií a videí, a také novinové články o vládních zákrocích proti demonstrantům.",Ano
IM004,29.12.1988,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",47 12345678,ali.abbas@gmail.com,"Ali byl v Iráku unesen a mučen militantní skupinou a obává se o svou bezpečnost, pokud by se vrátil.","Aliho manželka a dítě v současné době žijí v Turecku, kde rovněž žádají o azyl.","cestoval do Turecka autem a poté přešel do Řecka pěšky. Odtud cestoval přes několik evropských zemí, než se dostal do Norska.","Ali předkládá lékařské zprávy s podrobnostmi o svých zraněních a fotografie mučení, kterému byl vystaven.",Ano
IM005,11.8.1981,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",31 123456789,youssef.mohammad@email.com,"Youssef byl zatčen a zadržen iráckými úřady na základě falešného obvinění z terorismu. Byl podroben mučení a donucen přiznat se ke zločinům, které nespáchal. V případě návratu do Iráku se obává o svou bezpečnost.",Youssefova manželka a děti stále žijí v Iráku a také jim hrozí pronásledování. ,"Youssef cestoval do Turecka letadlem a poté pěšky přešel do Řecka. Odtud cestoval přes několik evropských zemí, než se dostal do Nizozemska.","předkládá lékařské zprávy s podrobnostmi o svých zraněních a prohlášení organizace na ochranu lidských práv, která dokumentuje případy mučení a svévolného zadržování v Iráku.",Ano
IM006,12.9.1987,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",76 1234567,ahmad.hussain@gmail.com,Ahmadův bratr byl členem prodemokratické skupiny v Iráku a byl zabit úřady. Ahmad se obává o svou bezpečnost a chce hledat útočiště ve Švédsku.,Ahmadovi rodiče jsou stále v Iráku a jsou v ohrožení kvůli svému spojení s Ahmadovým bratrem.,"cestoval z Iráku do Turecka a poté se lodí dostal do Itálie. Odtud cestoval po Evropě, až dorazil do Švédska.","poskytl policejní zprávy a zprávy o dodržování lidských práv, které dokumentují smrt jeho bratra a pronásledování jeho rodiny.",Ano
IM007,3.4.1992,"Tikrit, Irák",Irák,"fiktivní adresa, fiktivní země",31 123456789 ,ali.hassan@gmail.com,"uprchl z Iráku poté, co mu kvůli jeho novinářské práci vyhrožovala a mučila ho skupina milicí. Obává se o svůj život a potřebuje mezinárodní ochranu.",žádné,"cestoval přes Turecko, Řecko a Itálii, než se dostal do Nizozemska.","přiložil policejní záznamy a důkazy o výhrůžkách, které obdržel.",Ano
IM008,7.9.1995,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",49 123456789,omar.hussein@email.com,byl v Iráku pronásledován pro své náboženské přesvědčení a politickou aktivitu. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí je také Omarova manželka a dvě děti ve věku 5 a 7 let. ,"cestoval přes Turecko a Řecko, než se dostal do Německa.",Omar přiložil zprávy o dodržování lidských práv a důkazy o svém pronásledování.,Ano
IM009,6.12.1990,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",44 123456789 ,yasir.khalid@email.com,byl pronásledován vládou za své politické názory a aktivismus. Obává se o svůj život a potřebuje mezinárodní ochranu.,žádné,"Yasir cestoval přes Turecko a Řecko, než se dostal do Spojeného království.",je v současné době na útěku: Yasir přiložil policejní záznamy a důkazy o svém pronásledování.,Ano
IM010,1.6.1993,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",33 123456789,ahmed.abbas@email.com,Ahmed se stal terčem útoku ISIS kvůli své novinářské práci. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí jsou také Ahmedovi rodiče a mladší sestra. ,"cestoval přes Turecko a Řecko, než se dostal do Francie.",Přiloženy byly policejní záznamy a důkazy o výhrůžkách ze strany ISIS.,Ano
