zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
IM002,10.4.1995,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",32 479 12 34 56,ahmed.kareem@email.com,,Bez rodinných příslušníků,Ahmed uprchl z Iráku kvůli pronásledování ze strany ISIS.,"Fotografie z pronásledování, lékařské zprávy o emočním traumatu",Ano
IM003,13.5.1995,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",49 89 123456,ahmed.hassan@hotmail.com,Ahmed uprchl z Iráku kvůli své účasti na protestech proti vládě a obával se pronásledování ze strany vládních sil.,Ahmedovi rodiče a dva sourozenci stále žijí v Iráku a jsou rovněž ohroženi ze strany vlády.,"Ahmed odcestoval do Turecka letadlem a poté se vydal lodí do Řecka. Odtud cestoval přes několik evropských zemí, než se dostal do Německa.","Ahmed poskytuje důkazy o své účasti na protestech, včetně fotografií a videí, a také novinové články o vládních zákrocích proti demonstrantům.",Ne
IM006,12.9.1987,"Mosul, Irák",Irák,"fiktivní adresa, fiktivní země",76 1234567,ahmad.hussain@gmail.com,Ahmadův bratr byl členem prodemokratické skupiny v Iráku a byl zabit úřady. Ahmad se obává o svou bezpečnost a chce hledat útočiště ve Švédsku.,Ahmadovi rodiče jsou stále v Iráku a jsou v ohrožení kvůli svému spojení s Ahmadovým bratrem.,"cestoval z Iráku do Turecka a poté se lodí dostal do Itálie. Odtud cestoval po Evropě, až dorazil do Švédska.",,Ano
IM008,7.9.1995,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",49 123456789,omar.hussein@email.com,byl v Iráku pronásledován pro své náboženské přesvědčení a politickou aktivitu. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí je také Omarova manželka a dvě děti ve věku 5 a 7 let. ,"cestoval přes Turecko a Řecko, než se dostal do Německa.",Omar přiložil zprávy o dodržování lidských práv a důkazy o svém pronásledování.,Ne
IM009,6.12.1990,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",44 123456789 ,yasir.khalid@email.com,byl pronásledován vládou za své politické názory a aktivismus. Obává se o svůj život a potřebuje mezinárodní ochranu.,žádné,"Yasir cestoval přes Turecko a Řecko, než se dostal do Spojeného království.",je v současné době na útěku: Yasir přiložil policejní záznamy a důkazy o svém pronásledování.,Ne
IM012,20.5.1992,"Basra, Irák",Irák,"fiktivní adresa, fiktivní země",44 123456789,mohammad.hussein@hotmail.com,Mohammad se stal terčem útoku vlády kvůli své účasti na politickém aktivismu. Obává se o svůj život a potřebuje mezinárodní ochranu.,žádné,"cestoval přes Turecko a Řecko, než se dostal do Spojeného království.",,Ano
IM014,25.11.1991,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",49 123456789,hassan.mahmoud@hotmail.com,byl svou rodinou pronásledován kvůli sňatku se ženou z jiné náboženské sekty. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí je také Hassanova manželka a novorozený syn.,"cestoval přes Turecko a Řecko, než se dostal do Německa.",Byly přiloženy důkazy o jeho pronásledování a lékařské zprávy. Nikoli doklad o spojení svazku.,Ano
IM015,5.6.1993,"Bagdád, Irák",Irák,"fiktivní adresa, fiktivní země",44 123456789,ahmed.hassan@hotmail.com,Ahmed se stal terčem útoku ISIS kvůli svému náboženskému přesvědčení a příslušnosti k menšinové skupině. Obává se o svůj život a potřebuje mezinárodní ochranu.,V nebezpečí jsou také Ahmedovi rodiče a mladší sourozenci.,Ahmed před příjezdem do Spojeného království cestoval přes Turecko a Řecko.,,Ano
IM018,6.7.1985,"Kirkuk, Irák",Irák,"fiktivní adresa, fiktivní země",44 7777 123456,ali.hassan@hotmail.com,"je novinář, kterému bylo vyhrožováno smrtí za odhalení korupce v irácké vládě. Poté, co mu bylo několikrát vyhrožováno smrtí, uprchl ze země a potřebuje mezinárodní ochranu.","Alího manželka a děti jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s ním.",cestoval do Turecka autobusem a poté odletěl do Spojeného království.,,Ano
IM019,11.9.1970,"Falúdža, Irák",Irák,"fiktivní adresa, fiktivní země",46 70 123 4567,omar.ali@email.com,"Omarova rodina se stala terčem útoku teroristické skupiny kvůli svému zapojení do irácké armády. Byl nucen uprchnout z rodného města, aby hledal bezpečí, a potřebuje mezinárodní ochranu.","Omarova manželka a děti jsou stále v Iráku a hrozí jim, že se stanou terčem útoku kvůli jejich spojení s ním.","cestoval do Turecka autem a poté se vydal lodí do Řecka, než dorazil do Švédska.",,Ano
