zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
TM001,01.05.1967,Tunis,Tunis,"fiktivní adresa, fiktivní země",,,"Fatima uprchla z Tuniska kvůli pronásledování ze strany členů své rodiny, když se dozvěděli o jejím vztahu se ženou. Její rodina homosexualitu neschvaluje a hrozila jí násilným zásahem. To ji přimělo k útěku ze země a k žádosti o mezinárodní ochranu. ","Pokud Fatimě nebude udělen azyl, hrozí nebezpečí i jejímu 29letému partnerovi Souadovi. ","Fatima odjela z Tuniska s potřebnými doklady lodí do Itálie, kde doufá najít bezpečí a útočiště. ","Fatima má lékařské potvrzení od terapeuta a svědectví od Souada, které popisuje nebezpečí, které jim oběma hrozí kvůli jejich sexuální orientaci.",Ano
TM002,14.11.1972,Kairouan,Tunis,"fiktivní adresa, fiktivní země",,,"Násir se stal terčem útoku extremistické teroristické skupiny v Tunisu kvůli svému náboženství. Je šíitský muslim a jeho rodina patřila k menšinové skupině, která se stala terčem útoku této skupiny. Násir od této skupiny dostával výhrůžky smrtí a bylo mu řečeno, aby buď konvertoval k sunnitskému islámu, nebo opustil zemi. To ho přimělo k útěku ze země a vyhledání mezinárodní ochrany. ",Kvůli svému spojení s Násirem jsou v ohrožení také jeho 55letá matka a 24letá sestra. ,Násir cestoval do Itálie lodí a poté projížděl různé části Evropy autobusem a vlakem. ,"Nasser má lékařské potvrzení od terapeuta a dopis od náboženského vůdce z Tunisu, který potvrzuje, že mu hrozí nebezpečí kvůli jeho náboženství.",Ano
TM003,22.08.1985,Sfax,Tunis,"fiktivní adresa, fiktivní země",,,"Marwan byl v Tunisku pronásledován kvůli svým politickým názorům a vedení studentské aktivistické skupiny. Marwan byl součástí národní skupiny studentů bojujících proti zkorumpovanému politickému systému své země. Vláda a další úřady ho pronásledovaly, bezdůvodně zatýkaly, mučily a vyhrožovaly mu smrtí. To ho přimělo opustit Tunisko a požádat o mezinárodní ochranu. ",Marwanově 63leté matce a jeho 33letému bratrovi hrozí ze strany úřadů kvůli jejich spojení s ním nebezpečí. ,"Marwan cestoval do Itálie, Řecka a Německa s využitím různých druhů dopravy, včetně pěší chůze a vlaků. ",,Ano
TM004,07.09.1961,Sousse,Tunis,"fiktivní adresa, fiktivní země",,,Ahmed opustil Tunisko kvůli pronásledování ze strany úřadů za účast na protestech proti vládě. Obává se o svou bezpečnost a potřebuje mezinárodní ochranu; ,"Ahmedův otec a bratr jsou rovněž političtí aktivisté, kteří byli zatčeni a kterým úřady vyhrožují","Ahmed cestoval lodí do Itálie a poté do Německa, kde v současné době pobývá","Ahmed má policejní záznamy a zprávy o dodržování lidských práv, které podrobně popisují jeho pronásledování v Tunisku",Ano
TM005,30.03.1994,Bizerte,Tunis,"fiktivní adresa, fiktivní země",,,"Fatima opustila Tunisko poté, co byla vystavena domácímu násilí ze strany svého manžela. Obává se o své bezpečí a potřebuje mezinárodní ochranu","Fatiminy děti jsou také v ohrožení, protože jim manžel vyhrožoval, že jim ublíží, pokud s ní odejdou; ","Fatima odcestovala lodí do Itálie a poté do Francie, kde v současné době pobývá","Fatima má lékařské zprávy a fotografie, které dokazují, že byla v Tunisku zneužívána",Ano
TM006,19.07.1983,Gabès,Tunis,"fiktivní adresa, fiktivní země",,,Nizar Abbasi žádá o azyl z důvodu násilí a výhrůžek ze strany extremistických skupin v Tunisku. Jako člen komunity LGBTQ+ byl Nizar terčem útoků a fyzického napadání kvůli své sexuální orientaci. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost svého partnera., Nizarův partner Ahmed.,Nizar v roce 2019 uprchl do Itálie a od té doby cestuje po různých zemích Evropy a ubytovává se v bezpečných domech pro LGBTQ+.,"Nizar se v roce 2017 vrátil do země, kde žije, a kde se mu podařilo dostat se na svobodu: Nizar přiložil lékařské záznamy dokládající zranění, která utrpěl při útocích, a zprávy skupin na podporu LGBTQ+, které upozorňují na pronásledování, jemuž jsou členové komunity v Tunisku vystaveni.",Ano
TM007,10.02.1978,Gafsa,Tunis,"fiktivní adresa, fiktivní země",,,Imad Abboud žádá o azyl z důvodu politického pronásledování v Tunisku. Jako člen opoziční strany je ohrožován a obtěžován vládními úředníky. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny., Imádovi rodiče a sourozenci., Imád uprchl do Německa v roce 2020 s pomocí svého stranického kolegy.,"Imád se v roce 2017 stal obětí trestného činu proti lidskosti: Imad přiložil svá politická prohlášení a zprávy organizací na ochranu lidských práv, které dokumentují politické pronásledování v Tunisku.",Ano
TM008,23.12.1956,Monastir,Tunis,"fiktivní adresa, fiktivní země",,,"Hamza Mahjoub žádá o azyl z důvodu pronásledování extremistickými skupinami v Tunisku. Jako aktivista za lidská práva se stal terčem útoků a bylo mu vyhrožováno násilím za to, že vystupoval proti porušování lidských práv. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.",Hamzova manželka Aisha a jejich dvě děti ve věku 6 a 8 let.,"Hamza uprchl do Francie v roce 2020 a od té doby cestuje po různých zemích Evropy, kde se zdržuje v bezpečných domech a u přátel.","Hamza přiložil zprávy lidskoprávních organizací dokumentující pronásledování aktivistů v Tunisku, jakož i články, které napsal, a svá prohlášení o porušování lidských práv v Tunisku.",Ano
TM009,28.06.1965,La Marsa,Tunis,"fiktivní adresa, fiktivní země",,,"Amine Jerbi žádá o azyl z důvodu pronásledování extremistickými skupinami v Tunisku. Jako sekulární aktivista se stal terčem útoků a bylo mu vyhrožováno násilím za to, že prosazuje oddělení náboženství od státu. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.",Aminovi rodiče a sourozenci.,Amine uprchl do Německa v roce 2021 s pomocí přítele.," Amine přiložil svá prohlášení o potřebě sekularismu v Tunisku, jakož i zprávy organizací na ochranu lidských práv dokumentující pronásledování sekulárních aktivistů.",Ano
TM010,17.04.1990,Tataouine,Tunis,"fiktivní adresa, fiktivní země",,,"Youssef Razek žádá o azyl z důvodu pronásledování ze strany tuniské vlády. Jako novinář je terčem útoků a hrozí mu uvěznění za to, že informoval o korupci ve vládě a porušování lidských práv. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.",Youssefova manželka Samira a jejich dvě děti ve věku 7 a 9 let.,Youssef uprchl do Itálie v roce 2019 a od té doby cestuje po různých zemích Evropy a ubytovává se u přátel a příbuzných.,"Youssef přiložil články, které napsal a které odhalují korupci ve vládě, a také zprávy organizací na ochranu lidských práv, které dokumentují pronásledování novinářů v Tunisku.",Ano
TM011,04.10.1971,Kasserine,Tunis,"fiktivní adresa, fiktivní země",,,Nabil Nouri žádá o azyl z důvodu pronásledování extremistickými skupinami v Tunisku. Jako člen židovské komunity se stal terčem útoků a vyhrožování násilím kvůli svému náboženskému přesvědčení. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.," Nabílova manželka Sára a jejich tři děti ve věku 3, 5 a 7 let.",Nabil uprchl do Itálie v roce 2020 a od té doby cestuje po různých zemích Evropy a ubytovává se u přátel a rodiny.,"Nabil přiložil svá prohlášení o diskriminaci, které čelí židovská komunita v Tunisku, a zprávy organizací na ochranu lidských práv, které dokumentují pronásledování židovských osob.",Ano
TM012,09.01.1979,Nabeul,Tunis,"fiktivní adresa, fiktivní země",,,Mounir Chaouch žádá o azyl z důvodu politického pronásledování v Tunisku. Jako člen opoziční strany byl zastrašován a obtěžován vládními úředníky. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.,Mounirova manželka Lina a jejich dvě děti ve věku 6 a 8 let.,Mounir uprchl do Německa v roce 2021 s pomocí spolustraníka.,Mounir přiložil svá politická prohlášení a zprávy organizací na ochranu lidských práv dokumentující politické pronásledování v Tunisku.,Ano
TM013,02.07.1987,Hammamet,Tunis,"fiktivní adresa, fiktivní země",,,"Morad Soltani žádá o azyl z důvodu pronásledování ze strany svého zaměstnavatele. Jako homosexuál byl na pracovišti vystaven diskriminaci a zneužívání. Obává se, že v případě návratu do Tuniska přijde o práci, a bojí se o svou bezpečnost.",Žádní,Morad uprchl do Spojeného království v roce 2020 s pomocí přítele.,"Morad přiložil lékařské zprávy dokládající emocionální a duševní újmu způsobenou diskriminačním zacházením, jakož i výpovědi svědků, kteří zneužívání viděli.",Ano
TM014,13.10.1953,Mahdia,Tunis,"fiktivní adresa, fiktivní země",,,"Khaled Chaib žádá o azyl z důvodu pronásledování ze strany tuniské vlády. Jako novinář je terčem útoků a hrozí mu uvěznění za to, že informoval o porušování lidských práv, vládní korupci a terorismu. V případě návratu do Tuniska se obává o svou bezpečnost a bezpečnost své rodiny.",Khaledova manželka Amina a jeho čtyřletý syn Younes.,"Khaled uprchl do Španělska v roce 2018 a od té doby tam žije. Příležitostně cestoval do jiných evropských zemí, aby informoval o zpravodajských událostech."," Khaled přiložil články, které napsal a které odhalují korupci ve vládě a porušování lidských práv, a také zprávy organizací na ochranu lidských práv dokumentující pronásledování novinářů v Tunisku.",Ano
